slot,slot_round,strong_source,weak_source,strong_team_id,weak_team_id,winner_team_id,winner_team,win_probability,game_id
X16,0,X16a,X16b,1250,1341,1250,Lehigh,0.5107529464040999,2026_1250_1341
Y11,0,Y11a,Y11b,1275,1374,1374,SMU,0.7336237214299017,2026_1275_1374
Y16,0,Y16a,Y16b,1224,1420,1420,UMBC,0.526022568735266,2026_1224_1420
Z11,0,Z11a,Z11b,1301,1400,1301,NC State,0.5186178434779962,2026_1301_1400
R1W1,1,W01,W16,1181,1373,1181,Duke,0.8719157563805643,2026_1181_1373
R1W2,1,W02,W15,1163,1202,1163,Connecticut,0.8502726889234684,2026_1163_1202
R1W3,1,W03,W14,1277,1295,1277,Michigan St,0.851116701164685,2026_1277_1295
R1W4,1,W04,W13,1242,1465,1242,Kansas,0.82597724221755,2026_1242_1465
R1W5,1,W05,W12,1385,1320,1385,St John's,0.724056389162888,2026_1320_1385
R1W6,1,W06,W11,1257,1378,1257,Louisville,0.6540705989462511,2026_1257_1378
R1W7,1,W07,W10,1417,1416,1417,UCLA,0.6468815951579225,2026_1416_1417
R1W8,1,W08,W09,1326,1395,1326,Ohio St,0.5819944452583362,2026_1326_1395
R1X1,1,X01,X16,1196,1250,1196,Florida,0.8727026302573504,2026_1196_1250
R1X2,1,X02,X15,1222,1225,1222,Houston,0.8620015336078097,2026_1222_1225
R1X3,1,X03,X14,1228,1335,1228,Illinois,0.849821055167011,2026_1228_1335
R1X4,1,X04,X13,1304,1407,1304,Nebraska,0.7797191558058005,2026_1304_1407
R1X5,1,X05,X12,1435,1270,1435,Vanderbilt,0.8285526212697549,2026_1270_1435
R1X6,1,X06,X11,1314,1433,1314,North Carolina,0.6406942665791618,2026_1314_1433
R1X7,1,X07,X10,1388,1401,1401,Texas A&M,0.5092008382346326,2026_1388_1401
R1X8,1,X08,X09,1155,1234,1155,Clemson,0.5349404483805557,2026_1155_1234
R1Y1,1,Y01,Y16,1276,1420,1276,Michigan,0.8725341169895583,2026_1276_1420
R1Y2,1,Y02,Y15,1235,1398,1235,Iowa St,0.8652736119457756,2026_1235_1398
R1Y3,1,Y03,Y14,1438,1460,1438,Virginia,0.8552896189994329,2026_1438_1460
R1Y4,1,Y04,Y13,1104,1220,1104,Alabama,0.8155110891457364,2026_1104_1220
R1Y5,1,Y05,Y12,1403,1103,1403,Texas Tech,0.7763179890542726,2026_1103_1403
R1Y6,1,Y06,Y11,1397,1374,1397,Tennessee,0.6151061507554728,2026_1374_1397
R1Y7,1,Y07,Y10,1246,1365,1246,Kentucky,0.6448174899814754,2026_1246_1365
R1Y8,1,Y08,Y09,1208,1387,1208,Georgia,0.5872588790373049,2026_1208_1387
R1Z1,1,Z01,Z16,1112,1254,1112,Arizona,0.8657905538835771,2026_1112_1254
R1Z2,1,Z02,Z15,1345,1474,1345,Purdue,0.856231723405763,2026_1345_1474
R1Z3,1,Z03,Z14,1211,1244,1211,Gonzaga,0.854815366525334,2026_1211_1244
R1Z4,1,Z04,Z13,1116,1218,1116,Arkansas,0.8275744657122804,2026_1116_1218
R1Z5,1,Z05,Z12,1458,1219,1458,Wisconsin,0.8036887805327981,2026_1219_1458
R1Z6,1,Z06,Z11,1140,1301,1140,BYU,0.5723344210862462,2026_1140_1301
R1Z7,1,Z07,Z10,1274,1281,1274,Miami FL,0.6270788050355014,2026_1274_1281
R1Z8,1,Z08,Z09,1437,1429,1437,Villanova,0.5903951004073257,2026_1429_1437
