slot,slot_round,strong_source,weak_source,strong_team_id,weak_team_id,winner_team_id,winner_team,win_probability,game_id
X16,0,X16a,X16b,1250,1341,1341,Prairie View,0.5444341268674484,2026_1250_1341
Y11,0,Y11a,Y11b,1275,1374,1275,Miami OH,0.32853755892469827,2026_1275_1374
Y16,0,Y16a,Y16b,1224,1420,1420,UMBC,0.5854999340852782,2026_1224_1420
Z11,0,Z11a,Z11b,1301,1400,1301,NC State,0.5849289187331895,2026_1301_1400
R1W1,1,W01,W16,1181,1373,1181,Duke,0.8783153779196262,2026_1181_1373
R1W2,1,W02,W15,1163,1202,1163,Connecticut,0.8558571400899809,2026_1163_1202
R1W3,1,W03,W14,1277,1295,1277,Michigan St,0.8634816273808222,2026_1277_1295
R1W4,1,W04,W13,1242,1465,1242,Kansas,0.8332568356248615,2026_1242_1465
R1W5,1,W05,W12,1385,1320,1385,St John's,0.7071813407826529,2026_1320_1385
R1W6,1,W06,W11,1257,1378,1257,Louisville,0.6345867142565245,2026_1257_1378
R1W7,1,W07,W10,1417,1416,1417,UCLA,0.6237972741970013,2026_1416_1417
R1W8,1,W08,W09,1326,1395,1326,Ohio St,0.5894761923602035,2026_1326_1395
R1X1,1,X01,X16,1196,1341,1196,Florida,0.8800182161800059,2026_1196_1341
R1X2,1,X02,X15,1222,1225,1222,Houston,0.8707993996463451,2026_1222_1225
R1X3,1,X03,X14,1228,1335,1228,Illinois,0.855213460811972,2026_1228_1335
R1X4,1,X04,X13,1304,1407,1304,Nebraska,0.7783245668157156,2026_1304_1407
R1X5,1,X05,X12,1435,1270,1435,Vanderbilt,0.7856021645532318,2026_1270_1435
R1X6,1,X06,X11,1314,1433,1314,North Carolina,0.6454383102902987,2026_1314_1433
R1X7,1,X07,X10,1388,1401,1401,Texas A&M,0.37534531154507966,2026_1388_1401
R1X8,1,X08,X09,1155,1234,1155,Clemson,0.5807774578147851,2026_1155_1234
R1Y1,1,Y01,Y16,1276,1420,1276,Michigan,0.8794118473287565,2026_1276_1420
R1Y2,1,Y02,Y15,1235,1398,1235,Iowa St,0.8633366177117562,2026_1235_1398
R1Y3,1,Y03,Y14,1438,1460,1438,Virginia,0.8643054279855404,2026_1438_1460
R1Y4,1,Y04,Y13,1104,1220,1104,Alabama,0.807367598445154,2026_1104_1220
R1Y5,1,Y05,Y12,1403,1103,1403,Texas Tech,0.7415801003152913,2026_1103_1403
R1Y6,1,Y06,Y11,1397,1275,1397,Tennessee,0.7676328149833891,2026_1275_1397
R1Y7,1,Y07,Y10,1246,1365,1246,Kentucky,0.630504227830309,2026_1246_1365
R1Y8,1,Y08,Y09,1208,1387,1387,St Louis,0.4225424461113241,2026_1208_1387
R1Z1,1,Z01,Z16,1112,1254,1112,Arizona,0.8782696064768702,2026_1112_1254
R1Z2,1,Z02,Z15,1345,1474,1345,Purdue,0.8636879463380365,2026_1345_1474
R1Z3,1,Z03,Z14,1211,1244,1211,Gonzaga,0.8402308728248075,2026_1211_1244
R1Z4,1,Z04,Z13,1116,1218,1116,Arkansas,0.8203829252805307,2026_1116_1218
R1Z5,1,Z05,Z12,1458,1219,1458,Wisconsin,0.7814480997700932,2026_1219_1458
R1Z6,1,Z06,Z11,1140,1301,1301,NC State,0.39565143984272344,2026_1140_1301
R1Z7,1,Z07,Z10,1274,1281,1274,Miami FL,0.6008001633002293,2026_1274_1281
R1Z8,1,Z08,Z09,1437,1429,1429,Utah St,0.4617681513440045,2026_1429_1437
R2W1,2,R1W1,R1W8,1181,1326,1181,Duke,0.8462279828337329,2026_1181_1326
R2W2,2,R1W2,R1W7,1163,1417,1163,Connecticut,0.6452950914204787,2026_1163_1417
R2W3,2,R1W3,R1W6,1277,1257,1277,Michigan St,0.6315053874406613,2026_1257_1277
R2W4,2,R1W4,R1W5,1242,1385,1242,Kansas,0.6312572126304006,2026_1242_1385
R2X1,2,R1X1,R1X8,1196,1155,1196,Florida,0.8522361767069339,2026_1155_1196
R2X2,2,R1X2,R1X7,1222,1401,1222,Houston,0.8173154124565104,2026_1222_1401
R2X3,2,R1X3,R1X6,1228,1314,1228,Illinois,0.6738983160230365,2026_1228_1314
R2X4,2,R1X4,R1X5,1304,1435,1435,Vanderbilt,0.39386580917069336,2026_1304_1435
R2Y1,2,R1Y1,R1Y8,1276,1387,1276,Michigan,0.851829299785714,2026_1276_1387
R2Y2,2,R1Y2,R1Y7,1235,1246,1235,Iowa St,0.6417709905950012,2026_1235_1246
R2Y3,2,R1Y3,R1Y6,1438,1397,1438,Virginia,0.6652864249597009,2026_1397_1438
R2Y4,2,R1Y4,R1Y5,1104,1403,1104,Alabama,0.6191260476241592,2026_1104_1403
R2Z1,2,R1Z1,R1Z8,1112,1429,1112,Arizona,0.8128759889506922,2026_1112_1429
R2Z2,2,R1Z2,R1Z7,1345,1274,1345,Purdue,0.7163552722262515,2026_1274_1345
R2Z3,2,R1Z3,R1Z6,1211,1301,1211,Gonzaga,0.6932068362752569,2026_1211_1301
R2Z4,2,R1Z4,R1Z5,1116,1458,1116,Arkansas,0.625566488971573,2026_1116_1458
R3W1,3,R2W1,R2W4,1181,1242,1181,Duke,0.6929517164827708,2026_1181_1242
