slot,slot_round,strong_source,weak_source,strong_team_id,weak_team_id,winner_team_id,winner_team,win_probability,game_id
X16,0,X16a,X16b,1250,1341,1341,Prairie View,0.6916512867289379,2026_1250_1341
Y11,0,Y11a,Y11b,1275,1374,1374,SMU,0.6919142641920749,2026_1275_1374
Y16,0,Y16a,Y16b,1224,1420,1420,UMBC,0.6916813533075739,2026_1224_1420
Z11,0,Z11a,Z11b,1301,1400,1301,NC State,0.6917822182808011,2026_1301_1400
R1W1,1,W01,W16,1181,1373,1181,Duke,0.6919137362644445,2026_1181_1373
R1W2,1,W02,W15,1163,1202,1163,Connecticut,0.6919174570107669,2026_1163_1202
R1W3,1,W03,W14,1277,1295,1277,Michigan St,0.6919493236104631,2026_1277_1295
R1W4,1,W04,W13,1242,1465,1242,Kansas,0.691893159829999,2026_1242_1465
R1W5,1,W05,W12,1385,1320,1385,St John's,0.6918667154215571,2026_1320_1385
R1W6,1,W06,W11,1257,1378,1257,Louisville,0.6919008639813111,2026_1257_1378
R1W7,1,W07,W10,1417,1416,1417,UCLA,0.6918612007122716,2026_1416_1417
R1W8,1,W08,W09,1326,1395,1326,Ohio St,0.691838783006875,2026_1326_1395
R1X1,1,X01,X16,1196,1341,1196,Florida,0.6918416211439959,2026_1196_1341
R1X2,1,X02,X15,1222,1225,1222,Houston,0.6919089734113966,2026_1222_1225
R1X3,1,X03,X14,1228,1335,1228,Illinois,0.6919037379110871,2026_1228_1335
R1X4,1,X04,X13,1304,1407,1304,Nebraska,0.6918666650091273,2026_1304_1407
R1X5,1,X05,X12,1435,1270,1435,Vanderbilt,0.6919074160997383,2026_1270_1435
R1X6,1,X06,X11,1314,1433,1314,North Carolina,0.6918610631099829,2026_1314_1433
R1X7,1,X07,X10,1388,1401,1388,St Mary's CA,0.6918025867548084,2026_1388_1401
R1X8,1,X08,X09,1155,1234,1155,Clemson,0.6917980593249651,2026_1155_1234
R1Y1,1,Y01,Y16,1276,1420,1276,Michigan,0.6919150668917721,2026_1276_1420
R1Y2,1,Y02,Y15,1235,1398,1235,Iowa St,0.6918692427129017,2026_1235_1398
R1Y3,1,Y03,Y14,1438,1460,1438,Virginia,0.691922466290548,2026_1438_1460
R1Y4,1,Y04,Y13,1104,1220,1104,Alabama,0.691892527965736,2026_1104_1220
R1Y5,1,Y05,Y12,1403,1103,1403,Texas Tech,0.6918435761116981,2026_1103_1403
R1Y6,1,Y06,Y11,1397,1374,1397,Tennessee,0.6918898810506625,2026_1374_1397
R1Y7,1,Y07,Y10,1246,1365,1246,Kentucky,0.6918657496857562,2026_1246_1365
R1Y8,1,Y08,Y09,1208,1387,1208,Georgia,0.6918298779536446,2026_1208_1387
R1Z1,1,Z01,Z16,1112,1254,1112,Arizona,0.6918588371320559,2026_1112_1254
