slot,slot_round,winner_team_id,winner_team,win_probability
X16,0,1250,Lehigh,0.6157704591751099
Y11,0,1374,SMU,0.6879310011863708
Y16,0,1224,Howard,0.5645343661308289
Z11,0,1301,NC State,0.6218389272689819
R1W1,1,1181,Duke,0.9975728392601013
R1W2,1,1163,Connecticut,0.9939864873886108
R1W3,1,1277,Michigan St,0.9956951141357422
R1W4,1,1242,Kansas,0.9731566905975342
R1W5,1,1385,St John's,0.9224989786744118
R1W6,1,1257,Louisville,0.6764851808547974
R1W7,1,1417,UCLA,0.5486197173595428
R1W8,1,1326,Ohio St,0.6090933680534363
R1X1,1,1196,Florida,0.9989608526229858
R1X2,1,1222,Houston,0.9975748658180237
R1X3,1,1228,Illinois,0.982673704624176
R1X4,1,1304,Nebraska,0.6231511831283569
R1X5,1,1435,Vanderbilt,0.982326228171587
R1X6,1,1314,North Carolina,0.719203531742096
R1X7,1,1388,St Mary's CA,0.5121603012084961
R1X8,1,1155,Clemson,0.568541944026947
R1Y1,1,1276,Michigan,0.9940944788977504
R1Y2,1,1235,Iowa St,0.9885560870170593
R1Y3,1,1438,Virginia,0.9898221492767334
R1Y4,1,1104,Alabama,0.9441289305686951
R1Y5,1,1403,Texas Tech,0.9498417787253857
R1Y6,1,1397,Tennessee,0.6846193373203278
R1Y7,1,1246,Kentucky,0.6224762201309204
R1Y8,1,1387,St Louis,0.5983856916427612
R1Z1,1,1112,Arizona,0.9989235997200012
R1Z2,1,1345,Purdue,0.9971776008605957
R1Z3,1,1211,Gonzaga,0.9707655906677246
R1Z4,1,1116,Arkansas,0.9649175405502319
R1Z5,1,1458,Wisconsin,0.9712654799222946
R1Z6,1,1140,BYU,0.6177250146865845
R1Z7,1,1274,Miami FL,0.588678240776062
R1Z8,1,1429,Utah St,0.63467937707901
R2W1,2,1181,Duke,0.8876222372055054
R2W2,2,1163,Connecticut,0.6633152365684509
R2W3,2,1277,Michigan St,0.6076819896697998
R2W4,2,1242,Kansas,0.5232360363006592
R2X1,2,1196,Florida,0.7741255611181259
R2X2,2,1222,Houston,0.7869325280189514
R2X3,2,1228,Illinois,0.6118722558021545
R2X4,2,1435,Vanderbilt,0.5248551666736603
R2Y1,2,1276,Michigan,0.8781479001045227
R2Y2,2,1235,Iowa St,0.6518016457557678
R2Y3,2,1438,Virginia,0.5949640870094299
R2Y4,2,1104,Alabama,0.5169957280158997
R2Z1,2,1112,Arizona,0.8255397081375122
R2Z2,2,1345,Purdue,0.7099021077156067
R2Z3,2,1211,Gonzaga,0.6867014467716217
R2Z4,2,1116,Arkansas,0.6312490701675415
R3W1,3,1181,Duke,0.7868415117263794
R3W2,3,1277,Michigan St,0.5274278819561005
R3X1,3,1196,Florida,0.5619189143180847
R3X2,3,1222,Houston,0.5442046523094177
R3Y1,3,1276,Michigan,0.8093049824237823
R3Y2,3,1438,Virginia,0.5049457550048828
R3Z1,3,1112,Arizona,0.7222525477409363
R3Z2,3,1345,Purdue,0.5176187455654144
R4W1,4,1181,Duke,0.7423782348632812
R4X1,4,1196,Florida,0.5504832863807678
R4Y1,4,1276,Michigan,0.735096275806427
R4Z1,4,1112,Arizona,0.6445484161376953
R5WX,5,1181,Duke,0.6696822047233582
R5YZ,5,1276,Michigan,0.5264010727405548
R6CH,6,1181,Duke,0.5316715240478516
