slot,slot_round,winner_team_id,winner_team,win_probability
X16,0,1341,Prairie View,0.9944312572479248
Y11,0,1275,Miami OH,0.863792359828949
Y16,0,1420,UMBC,0.9910216331481934
Z11,0,1400,Texas,0.845137819647789
R1W1,1,1181,Duke,1.0
R1W2,1,1163,Connecticut,1.0
R1W3,1,1277,Michigan St,0.9997193217277527
R1W4,1,1242,Kansas,0.9999874830245972
R1W5,1,1320,Northern Iowa,0.814951092004776
R1W6,1,1378,South Florida,0.6514492034912109
R1W7,1,1417,UCLA,0.9991846680641174
R1W8,1,1326,Ohio St,0.9997096061706543
R1X1,1,1196,Florida,1.0
R1X2,1,1222,Houston,1.0
R1X3,1,1228,Illinois,1.0
R1X4,1,1304,Nebraska,1.0
R1X5,1,1435,Vanderbilt,0.8115997910499573
R1X6,1,1314,North Carolina,0.9964773058891296
R1X7,1,1388,St Mary's CA,1.0
R1X8,1,1234,Iowa,0.9725952707231045
R1Y1,1,1276,Michigan,1.0
R1Y2,1,1235,Iowa St,0.9999977946281433
R1Y3,1,1438,Virginia,1.0
R1Y4,1,1104,Alabama,1.0
R1Y5,1,1403,Texas Tech,0.9999982714653015
R1Y6,1,1275,Miami OH,0.8227668255567551
R1Y7,1,1365,Santa Clara,0.9672729671001434
R1Y8,1,1208,Georgia,0.953234076499939
R1Z1,1,1112,Arizona,1.0
R1Z2,1,1345,Purdue,1.0
R1Z3,1,1211,Gonzaga,1.0
R1Z4,1,1116,Arkansas,1.0
R1Z5,1,1458,Wisconsin,0.9973580241203308
R1Z6,1,1140,BYU,0.9997105598449707
R1Z7,1,1274,Miami FL,0.9913246631622314
R1Z8,1,1437,Villanova,0.9468006491661072
R2W1,2,1181,Duke,1.0
R2W2,2,1163,Connecticut,0.9999899864196777
R2W3,2,1277,Michigan St,0.9999975562095642
R2W4,2,1242,Kansas,0.7877991795539856
R2X1,2,1196,Florida,1.0
R2X2,2,1222,Houston,0.9999991059303284
R2X3,2,1228,Illinois,0.9999959468841553
R2X4,2,1304,Nebraska,0.5513060688972473
R2Y1,2,1276,Michigan,1.0
R2Y2,2,1235,Iowa St,0.9961675405502319
R2Y3,2,1438,Virginia,1.0
R2Y4,2,1104,Alabama,0.999691367149353
R2Z1,2,1112,Arizona,1.0
R2Z2,2,1345,Purdue,0.9999986886978149
R2Z3,2,1211,Gonzaga,0.9998597502708435
R2Z4,2,1116,Arkansas,0.9999561905860901
R3W1,3,1181,Duke,1.0
R3W2,3,1163,Connecticut,0.9739907383918762
R3X1,3,1196,Florida,1.0
R3X2,3,1222,Houston,0.9963736534118652
R3Y1,3,1276,Michigan,1.0
R3Y2,3,1438,Virginia,0.9999999986550211
R3Z1,3,1112,Arizona,0.9999999403953552
R3Z2,3,1345,Purdue,0.9996869564056396
R4W1,4,1181,Duke,0.9999974370002747
R4X1,4,1196,Florida,1.0
R4Y1,4,1438,Virginia,0.8351668268442154
R4Z1,4,1112,Arizona,0.9999920129776001
R5WX,5,1196,Florida,0.9999963045120239
R5YZ,5,1438,Virginia,0.8266565203666687
R6CH,6,1196,Florida,0.9999873042106628
