slot,slot_round,winner_team_id,winner_team,win_probability
X16,0,1250,Lehigh,0.526240712624457
Y11,0,1374,SMU,0.9860997200566813
Y16,0,1420,UMBC,0.5504605362180709
Z11,0,1301,NC State,0.54356283663655
R1W1,1,1181,Duke,0.9999999966970317
R1W2,1,1163,Connecticut,0.9999973777440031
R1W3,1,1277,Michigan St,0.9999991464250925
R1W4,1,1242,Kansas,0.9999997067424811
R1W5,1,1385,St John's,0.5925483103031763
R1W6,1,1257,Louisville,0.887505943456107
R1W7,1,1417,UCLA,0.860171945171533
R1W8,1,1395,TCU,0.9044634600804227
R1X1,1,1196,Florida,0.9999999999991842
R1X2,1,1222,Houston,0.9999999904170905
R1X3,1,1228,Illinois,0.9999999996013619
R1X4,1,1304,Nebraska,0.9964649112076689
R1X5,1,1435,Vanderbilt,0.9389342757183876
R1X6,1,1314,North Carolina,0.9999903786373627
R1X7,1,1388,St Mary's CA,0.9999999413432574
R1X8,1,1234,Iowa,0.975697642023313
R1Y1,1,1276,Michigan,0.9999999978572605
R1Y2,1,1235,Iowa St,0.995133697628028
R1Y3,1,1438,Virginia,0.9999999993955274
R1Y4,1,1104,Alabama,0.9999994971977448
R1Y5,1,1403,Texas Tech,0.9924434820290681
R1Y6,1,1397,Tennessee,0.9910571098636789
R1Y7,1,1365,Santa Clara,0.9983875250505263
R1Y8,1,1387,St Louis,0.5601709713699212
R1Z1,1,1112,Arizona,0.999999488619066
R1Z2,1,1345,Purdue,0.9974471610739082
R1Z3,1,1211,Gonzaga,0.9999999857277998
R1Z4,1,1116,Arkansas,0.9999966941900159
R1Z5,1,1458,Wisconsin,0.9734039810470375
R1Z6,1,1140,BYU,0.9999902306706903
R1Z7,1,1274,Miami FL,0.5805221842839176
R1Z8,1,1437,Villanova,0.9404976122091605
R2W1,2,1181,Duke,0.9999999996299068
R2W2,2,1163,Connecticut,0.9999923171681725
R2W3,2,1277,Michigan St,0.9956959244228223
R2W4,2,1242,Kansas,0.9999947469565036
R2X1,2,1196,Florida,0.9999999999998468
R2X2,2,1222,Houston,0.9674558209919092
R2X3,2,1228,Illinois,0.9999998828044891
R2X4,2,1304,Nebraska,0.8115552938796534
R2Y1,2,1276,Michigan,0.9999999999691815
R2Y2,2,1365,Santa Clara,0.6432765432010006
R2Y3,2,1438,Virginia,0.9999999999386578
R2Y4,2,1104,Alabama,0.9945795908422081
R2Z1,2,1112,Arizona,0.9949557617939349
R2Z2,2,1345,Purdue,0.9950440174997043
R2Z3,2,1211,Gonzaga,0.995103727356875
R2Z4,2,1116,Arkansas,0.9672520032494879
R3W1,3,1181,Duke,0.9999999243607223
R3W2,3,1163,Connecticut,0.910728577266269
R3X1,3,1196,Florida,0.9999999999998267
R3X2,3,1228,Illinois,0.9631377070303168
R3Y1,3,1276,Michigan,0.9957685583408016
R3Y2,3,1438,Virginia,0.9999999988702207
R3Z1,3,1112,Arizona,0.9965913617637514
R3Z2,3,1211,Gonzaga,0.9962062314815148
R4W1,4,1181,Duke,0.9999981921566763
R4X1,4,1196,Florida,0.9999999952986731
R4Y1,4,1438,Virginia,0.9888880454620143
R4Z1,4,1112,Arizona,0.9149291494437338
R5WX,5,1196,Florida,0.9999999819980391
R5YZ,5,1438,Virginia,0.9972988590163716
R6CH,6,1196,Florida,0.9999996679632686
