team_name,exp_value
Florida,0.13198194
Michigan,0.10428366
Duke,0.08414115
Virginia,0.072269276
Arizona,0.07105208
Gonzaga,0.065688066
Illinois,0.062473837
Michigan St,0.05778234
Houston,0.057762846
Vanderbilt,0.033091232
Connecticut,0.02911333
Purdue,0.028982993
Alabama,0.02860552
Nebraska,0.027012922
Tennessee,0.025055658
Kansas,0.022308588
Iowa St,0.02179439
Arkansas,0.01826351
North Carolina,0.017931422
St Mary's CA,0.017655121
Louisville,0.017037466
Wisconsin,0.016177438
Texas Tech,0.01602971
BYU,0.015255844
Villanova,0.0121651
Santa Clara,0.011665956
Utah St,0.010126613
Iowa,0.009076386
St John's,0.008411678
Miami FL,0.007845482
UCLA,0.006313875
Kentucky,0.006246953
Clemson,0.0060317176
Georgia,0.0057545584
Texas,0.0054728216
NC State,0.0053359824
SMU,0.0050036754
TCU,0.0047034635
Ohio St,0.0045656404
South Florida,0.004150751
St Louis,0.0039962046
VCU,0.0039907997
Missouri,0.0038113508
McNeese St,0.0036138196
Akron,0.0035140738
Northern Iowa,0.0028339408
Texas A&M,0.0025250483
UCF,0.0023598068
High Point,0.002236996
Miami OH,0.0020259393
N Dakota St,0.0019466549
Hofstra,0.001939293
Troy,0.0015638883
Hawaii,0.0009901857
Wright St,0.00096034893
Tennessee St,0.0009106502
Queens NC,0.0008933653
UMBC,0.00072938914
Furman,0.0006440499
Prairie View,0.00060148985
Kennesaw,0.00058091804
Penn,0.0005582163
LIU Brooklyn,0.0004976327
Siena,0.0004969782
Howard,0.00035784178
Cal Baptist,0.00035380153
Idaho,0.0003485714
Lehigh,0.00027732446
