,TeamID,Season,Points_mean,Poss_mean,OE_mean,DE_mean,NE_mean,FGM_mean,FGA_mean,FGM3_mean,FGA3_mean,FTM_mean,FTA_mean,OR_mean,DR_mean,Ast_mean,TO_mean,Stl_mean,Blk_mean,Fouls_mean,FG%_mean,FG3%_mean,FT%_mean,OppPoints_mean,OppFGM_mean,OppFGA_mean,OppFGM3_mean,OppFGA3_mean,OppFTM_mean,OppFTA_mean,OppOR_mean,OppDR_mean,OppAst_mean,OppTO_mean,OppStl_mean,OppBlk_mean,OppFouls_mean,OppFG%_mean,OppFG3%_mean,OppFT%_mean,AdjOE_mean,AdjDE_mean,AdjNE_mean,Points_stdev,Poss_stdev,OE_stdev,DE_stdev,NE_stdev,FGM_stdev,FGA_stdev,FGM3_stdev,FGA3_stdev,FTM_stdev,FTA_stdev,OR_stdev,DR_stdev,Ast_stdev,TO_stdev,Stl_stdev,Blk_stdev,Fouls_stdev,FG%_stdev,FG3%_stdev,FT%_stdev,OppPoints_stdev,OppFGM_stdev,OppFGA_stdev,OppFGM3_stdev,OppFGA3_stdev,OppFTM_stdev,OppFTA_stdev,OppOR_stdev,OppDR_stdev,OppAst_stdev,OppTO_stdev,OppStl_stdev,OppBlk_stdev,OppFouls_stdev,OppFG%_stdev,OppFG3%_stdev,OppFT%_stdev,AdjOE_stdev,AdjDE_stdev,AdjNE_stdev,NET_average,NET_last,WinPct,SOS,SOV,Seed
0,1101.0,2019.0,71.7241,67.128,107.1017,96.7466,10.3551,25.3448,55.2414,7.2414,18.8966,13.7931,19.069,9.069,22.8966,14.6207,11.6552,8.0,2.5517,19.1379,0.4589,0.3887,0.7265,64.8966,22.4828,51.1379,5.7241,17.1034,14.2069,19.6552,8.8276,23.7586,11.1034,15.7241,5.5517,2.9655,18.069,0.4412,0.3282,0.6957,103.6659,89.1412,14.5247,8.7174,5.3801,12.1522,13.4345,18.8126,3.7165,3.8206,2.4019,4.4205,5.1554,6.6898,2.7908,4.3577,3.3157,4.5203,2.9595,1.6935,4.7177,0.0607,0.115,0.1005,10.0459,3.7749,5.4185,2.4054,4.221,7.2748,8.0784,3.524,3.38,3.8268,4.2661,2.6469,1.3514,3.8411,0.0669,0.1215,0.157,16.9483,17.5668,25.2932,152.8235,154.0,0.7931,0.4222,0.357,15.0
1,1102.0,2019.0,67.3871,68.3758,98.7687,105.6824,-6.9137,24.7419,55.3226,7.2581,22.4194,10.6452,15.6452,7.7419,25.5484,13.2903,13.1935,4.8065,1.8065,16.9677,0.4506,0.3221,0.6983,71.9032,25.7097,56.8065,9.4194,26.3871,11.0645,16.2258,8.129,25.6774,14.0645,12.1613,7.129,2.7097,17.1935,0.4527,0.3537,0.695,98.6874,106.329,-7.6416,12.9905,5.5205,18.4511,16.6242,24.1392,5.1366,9.365,3.3114,7.6317,3.865,5.5969,3.6097,5.956,5.0366,4.9149,2.3059,1.4237,3.4218,0.0794,0.1131,0.1504,10.353,4.3714,4.3211,3.2406,5.6664,3.3786,5.3564,3.0133,6.6059,4.951,3.7683,3.0133,1.887,3.247,0.0696,0.0892,0.1067,21.2067,22.5055,32.8071,247.2941,242.0,0.4194,0.4916,0.334,
2,1103.0,2019.0,68.3548,68.7355,99.4018,93.9799,5.4219,23.9355,58.871,8.871,28.0,11.6129,16.2903,9.3226,26.8065,11.9355,11.9032,5.6129,3.129,17.4839,0.4081,0.3146,0.7175,64.5806,23.1613,58.1613,6.5484,22.129,11.7097,17.7742,11.4194,27.871,10.2258,13.0968,5.7419,2.6452,17.5161,0.4001,0.2911,0.6602,102.0692,97.6048,4.4644,12.5069,4.6717,16.2493,14.0336,23.7551,5.5876,6.4645,3.319,4.9056,4.3897,6.1811,3.6224,4.6795,3.9262,3.1042,2.3784,2.352,3.4722,0.0886,0.1003,0.1378,10.6067,4.1667,6.3961,2.6254,5.4224,4.2441,6.0945,2.7682,5.7683,4.0378,3.6576,2.2571,1.8931,4.1025,0.068,0.0913,0.1253,18.2454,18.7574,31.4826,131.5294,114.0,0.4839,0.5252,0.4113,
3,1104.0,2019.0,71.7879,69.8803,102.4564,102.1984,0.2579,25.0606,56.8485,7.0606,20.8485,14.6061,21.8788,11.1515,26.4242,12.1515,13.6061,4.6061,4.6667,16.9697,0.4423,0.3358,0.6702,71.303,26.0606,59.6061,6.4242,19.4242,12.7576,18.0,9.9697,24.4545,11.3333,11.8788,6.3333,4.303,19.0303,0.4394,0.3346,0.7126,108.6368,115.092,-6.4552,10.0235,4.5031,10.6735,11.9499,16.8586,3.366,5.4889,2.4239,4.3213,6.1345,8.4414,4.2148,4.5195,3.1346,3.507,2.3861,2.1556,3.7778,0.054,0.0866,0.1195,8.5617,3.4372,7.5476,2.425,3.7581,5.263,7.3978,3.6638,3.5598,2.8141,3.5824,3.101,2.4182,4.4822,0.0461,0.1274,0.1246,12.4784,20.2893,24.2138,69.3529,59.0,0.5455,0.5728,0.5089,
4,1105.0,2019.0,60.5625,68.1621,88.9388,105.0449,-16.106,23.0,56.4688,5.6875,18.0,8.875,14.1562,10.0312,22.0,12.0,15.2188,7.3125,1.5312,18.3438,0.4102,0.3046,0.6282,71.4062,25.3438,54.0625,7.3438,20.7812,13.375,21.0,10.4062,25.7812,13.5625,14.3125,7.6875,3.4062,14.4688,0.4709,0.3556,0.6276,82.6884,94.7076,-12.0192,7.4201,5.6015,9.101,16.3495,18.8628,3.0208,6.2249,2.7436,4.2353,3.4073,5.0813,3.3493,5.2856,3.7749,5.2663,3.0046,1.2744,4.3273,0.0569,0.1205,0.1133,11.5701,4.7998,6.3489,3.294,5.8295,5.5607,7.3527,3.1311,4.1438,5.3964,3.8846,3.1567,1.693,3.1023,0.0802,0.1115,0.1306,10.9318,24.6428,25.7496,345.5882,346.0,0.1562,0.4329,0.2346,
5,1106.0,2019.0,65.6207,68.9983,95.2857,106.1674,-10.8817,22.4483,56.3793,7.069,21.9655,13.6552,21.069,12.1034,22.2759,9.8621,14.4828,6.1379,3.0,18.3103,0.3999,0.3225,0.6235,73.3793,25.9655,55.4828,6.931,20.0,14.5172,20.4483,10.6207,26.2414,14.0345,14.6552,7.2414,3.4138,19.5517,0.471,0.3519,0.6911,85.6803,94.6184,-8.9381,8.3518,4.5405,11.5821,16.9862,23.0397,4.1984,8.0832,2.3034,4.319,6.1939,7.8122,4.105,4.5174,3.0482,3.6917,2.5559,2.0844,3.9226,0.0588,0.0898,0.1461,13.438,5.4866,7.5412,2.5316,6.0856,6.2677,7.3559,4.1307,4.6731,4.3429,3.6792,2.3438,2.026,4.2717,0.0924,0.1013,0.153,12.2567,24.9236,29.7273,326.8235,330.0,0.3448,0.449,0.2444,
6,1107.0,2019.0,66.8065,67.3012,99.2606,103.216,-3.9554,22.5161,54.4194,8.6129,24.7742,13.1613,17.6774,9.2581,24.1935,12.5161,14.0968,6.0323,2.4516,17.871,0.4163,0.3472,0.7337,69.4839,25.2581,55.9677,7.871,21.9032,11.0968,16.9355,9.5484,24.6452,14.3548,12.4839,6.3548,3.6129,17.3226,0.4521,0.3571,0.6622,94.4453,96.2206,-1.7753,10.6874,4.5892,14.3214,13.899,19.5525,3.6797,6.7143,2.3096,3.5715,6.1334,7.2796,3.1105,4.6449,3.8844,4.4239,2.2502,2.2837,3.7308,0.0632,0.0755,0.1325,10.3826,4.2727,4.2539,2.9918,4.5533,4.3356,5.9997,3.6442,4.6942,3.9639,3.2316,3.0538,1.8435,3.9463,0.075,0.105,0.1292,15.1691,17.4749,23.702,280.4706,271.0,0.3548,0.4626,0.3844,
7,1108.0,2019.0,60.3333,67.7134,89.2756,108.1802,-18.9046,21.6296,54.037,6.1111,19.5556,10.963,16.4815,10.6296,22.5556,11.2593,16.2963,6.5556,3.4815,17.9259,0.4046,0.3188,0.6759,73.4444,26.2593,56.1852,6.6667,20.7778,14.2593,20.5185,10.3704,24.7407,16.1111,12.3333,8.1481,2.8519,15.7037,0.4681,0.3164,0.6936,81.321,95.6875,-14.3665,9.7904,4.9177,13.9886,13.8882,21.2605,3.7332,8.1353,2.183,4.9391,4.0137,5.9278,3.2677,4.9466,4.8427,3.2978,2.5142,1.9696,3.6609,0.0656,0.1088,0.12,12.0933,4.5995,5.8565,2.9565,6.2499,4.9035,5.8902,3.9266,5.4947,4.7088,3.2318,3.1353,1.7576,3.2978,0.0705,0.1062,0.1262,13.6817,22.4397,26.2539,343.0588,348.0,0.2222,0.4393,0.2683,
8,1110.0,2019.0,72.0333,68.8067,104.6159,100.1601,4.4558,26.0,54.8,6.3333,19.4333,13.7,19.6333,8.4,25.4,13.4,12.8667,7.3667,4.3667,17.3333,0.477,0.3289,0.6959,69.0,24.9,56.9667,5.0667,17.3333,14.1333,19.8333,9.5667,23.7,12.5,12.2,6.3667,3.2667,17.5333,0.4399,0.2905,0.7034,103.6081,95.6465,7.9616,10.3166,4.6377,12.7944,12.9748,14.5053,4.1231,6.3948,2.5604,5.2958,5.8375,7.9225,2.9732,5.6368,4.6733,3.2221,2.8459,2.3019,3.8326,0.0727,0.1024,0.0938,10.5546,4.069,5.4005,2.6449,5.075,5.1687,6.154,3.7831,4.3905,4.1853,3.1559,2.7506,1.9821,3.9305,0.0752,0.1099,0.0888,12.4609,15.1508,17.2437,184.1176,177.0,0.5,0.4511,0.4133,
9,1111.0,2019.0,77.3103,73.8323,104.6946,110.2297,-5.535,26.4138,59.7241,8.6207,25.0345,15.8621,22.1034,9.4483,24.9655,11.8966,13.1724,5.1379,2.7931,18.3448,0.4428,0.3436,0.727,81.1379,29.2414,61.5517,7.7586,20.8276,14.8966,20.9655,10.6207,27.1724,13.5172,12.8276,7.2414,3.3103,19.7586,0.4774,0.3687,0.7228,103.626,110.6188,-6.9927,9.8789,5.3115,10.7024,9.868,15.0085,4.4761,6.6483,2.7344,4.327,4.9391,7.2699,3.0466,3.7276,2.9401,3.3329,2.6225,1.7691,5.0053,0.0605,0.094,0.0912,6.7145,2.6347,5.3407,2.7997,4.1611,6.222,8.7828,3.7912,4.1195,4.5153,4.052,2.2538,2.4368,3.8296,0.0473,0.1013,0.1015,12.7408,16.7081,18.4795,231.0,213.0,0.2759,0.5104,0.4641,
10,1112.0,2019.0,70.9062,69.1348,102.3558,99.7648,2.591,24.8125,58.1562,7.3438,21.8438,13.9375,19.375,10.125,24.7188,12.4375,11.5938,5.1562,2.2812,18.5625,0.4276,0.3343,0.7063,68.9062,24.5938,54.8438,6.6562,20.25,13.0625,19.2188,8.625,25.5625,11.75,14.0938,5.4062,3.8438,19.4062,0.4509,0.3267,0.6842,106.6166,108.6419,-2.0253,12.3677,5.0683,14.9186,16.1447,22.8787,4.4048,6.8425,2.688,4.5422,5.8199,7.0345,3.6293,5.2156,3.7495,3.587,2.3993,1.858,3.5261,0.0639,0.1011,0.1298,12.0321,4.5816,6.0524,2.4317,4.5689,4.7627,6.4505,3.5067,5.2556,3.873,4.0954,2.0442,2.0783,3.7488,0.082,0.0989,0.1049,18.1744,23.5675,30.1306,64.7647,93.0,0.5312,0.5376,0.4766,
11,1113.0,2019.0,77.8125,73.2836,106.3585,99.741,6.6175,26.5938,59.4688,7.25,21.25,17.375,25.9062,12.1562,27.8125,13.5938,13.5938,6.2188,3.2188,19.9062,0.4509,0.3448,0.6681,73.0625,24.2188,58.6875,8.5625,25.5,16.0625,22.6562,10.0,25.2188,13.2812,13.9062,6.3438,3.4688,21.6562,0.4129,0.3318,0.7069,111.218,107.2995,3.9184,10.4596,6.3351,12.693,12.171,17.9028,4.122,6.6048,2.2079,4.3946,5.2306,6.6397,3.4651,5.4282,3.7405,3.8231,2.355,1.9643,4.103,0.0764,0.0934,0.1103,10.7207,4.3065,6.2771,2.9784,4.3946,5.5167,6.958,3.4278,5.3253,3.233,3.3574,2.813,2.4747,4.0203,0.061,0.0936,0.1247,16.3056,17.2335,21.7458,53.6471,63.0,0.6875,0.5369,0.5352,11.0
12,1114.0,2019.0,73.5517,73.0802,100.6181,104.2803,-3.6622,26.0,53.8276,6.5517,18.4138,15.0,22.8966,7.8621,25.7586,13.7931,16.5517,5.4483,2.6207,20.5517,0.4854,0.3539,0.6463,76.3448,25.5862,57.3103,8.7586,24.7931,16.4138,23.1034,9.7241,24.5517,13.8966,14.2069,5.7241,2.4828,21.2069,0.4468,0.3516,0.7041,98.9869,102.6645,-3.6776,11.1001,6.5132,12.1183,12.4018,18.8977,4.1021,6.0973,2.6075,5.0958,6.33,6.875,3.0707,4.5308,3.6519,3.4699,2.8957,1.2152,5.2823,0.0749,0.1008,0.141,12.0209,4.3906,6.6804,3.0018,5.2547,7.2231,8.9108,3.8943,5.4113,3.9509,4.0033,2.8875,1.5452,4.3182,0.0593,0.0938,0.1066,13.7503,17.3579,22.0411,238.5882,236.0,0.2759,0.4993,0.4361,
13,1115.0,2019.0,65.2903,67.9472,95.9426,104.6584,-8.7158,22.129,52.0,6.0645,17.8387,14.9677,22.0645,9.8065,23.0645,11.0323,15.0,6.2258,3.3226,20.0645,0.4262,0.3554,0.6709,71.5484,24.4839,53.5806,6.3226,17.8065,16.2581,24.0968,10.2258,23.871,13.6774,13.4194,7.5806,3.2258,19.1935,0.4548,0.3319,0.6713,88.56,94.132,-5.572,15.1086,7.4567,17.7887,16.9388,24.7585,5.0656,7.5306,2.2567,5.0038,6.9537,8.9872,3.505,4.5856,3.763,4.9252,2.5616,2.0851,4.103,0.0768,0.1446,0.1258,16.048,5.7072,7.6823,3.477,4.8687,6.064,7.8591,3.8747,4.9627,5.1267,3.16,3.3387,1.8787,5.4738,0.0663,0.1365,0.0903,19.0374,24.8416,30.9919,309.4118,323.0,0.3871,0.4331,0.2949,
14,1116.0,2019.0,75.4688,72.407,103.9644,100.3481,3.6163,26.4062,59.125,7.5312,22.0,15.125,22.75,10.25,23.2812,16.0312,13.2812,8.2812,4.875,20.4062,0.444,0.3412,0.6604,72.5938,24.125,56.75,8.1562,23.9375,16.1875,23.4375,12.625,25.6875,12.9062,16.5938,6.0938,3.1875,21.6875,0.4295,0.3536,0.6872,110.3869,111.5655,-1.1786,13.4884,6.3862,13.8766,13.8083,19.4274,6.0718,7.3983,3.0719,5.2082,6.5036,8.7607,3.0721,6.0116,5.3705,3.8506,2.7299,2.7698,4.212,0.0691,0.1193,0.0909,11.731,4.3643,7.7661,2.6705,5.3499,6.0334,6.7636,4.5052,3.9006,2.9829,4.2929,3.0348,2.0682,4.9651,0.0789,0.1229,0.1126,16.5694,22.4253,26.8824,68.2353,65.0,0.5312,0.5509,0.4902,
15,1117.0,2019.0,72.7667,71.4683,101.6239,110.2612,-8.6372,24.4667,59.4667,7.2,22.3,16.6333,22.5333,12.8,24.6,11.0333,13.8667,5.2,4.0667,21.6,0.4144,0.3233,0.7322,78.6333,26.1,57.9333,7.5667,21.0333,18.8667,25.3333,10.4667,25.2333,13.2667,12.2,5.9333,3.6333,19.9667,0.4542,0.361,0.7394,100.5811,109.7168,-9.1357,10.1248,5.5561,10.031,10.8724,14.5986,3.7393,7.667,2.151,4.1162,6.6857,8.2208,4.1905,4.0133,2.8341,4.3798,2.3438,1.7689,4.2158,0.0619,0.0857,0.1071,8.499,3.6638,7.5495,2.7651,5.1217,5.9595,7.1895,4.4327,4.6237,3.4538,3.4679,3.3757,2.1523,4.5496,0.0642,0.1075,0.085,12.0112,14.6759,18.2037,235.8235,251.0,0.3667,0.5003,0.4369,
16,1119.0,2019.0,70.2258,71.4085,98.5618,102.0981,-3.5362,25.9032,60.7097,8.3871,26.3871,10.0323,14.7419,8.0,26.5484,15.3548,11.7742,6.0,1.5484,17.0323,0.4314,0.319,0.6712,73.0645,26.7742,58.0,8.2903,23.3871,11.2258,16.4516,7.871,29.0,14.0,13.3871,6.7419,4.2903,15.7419,0.4625,0.354,0.674,96.2833,99.8409,-3.5576,9.8233,5.0294,13.8481,12.2651,16.1962,4.0827,8.1327,2.7787,5.4871,4.68,6.3498,2.8055,3.7489,3.6149,3.5443,2.3692,1.4992,4.5965,0.077,0.1027,0.1281,11.3135,4.2404,5.8088,2.7497,4.9882,6.3739,8.416,3.3958,6.5697,4.0241,3.2891,3.2126,2.3306,3.4916,0.0635,0.0943,0.1553,14.3991,17.0385,20.866,256.1765,239.0,0.3871,0.4881,0.3969,
17,1120.0,2019.0,78.8824,69.3548,113.6358,99.1798,14.456,27.0294,60.4412,11.4118,29.9706,13.4118,18.7353,11.7353,21.9412,14.4118,12.1471,9.2941,4.7647,18.3824,0.4476,0.3778,0.699,68.5882,23.2353,52.9412,8.3235,23.3824,13.7941,19.3529,10.7647,24.1765,12.0294,17.5882,5.9118,3.6765,17.2059,0.4401,0.3582,0.7191,121.1461,112.1957,8.9504,11.3235,5.1938,13.1489,17.1173,22.9472,5.0555,8.6201,3.3792,5.6333,5.4832,6.2512,4.6546,4.4255,4.4795,4.3867,3.5191,2.3271,3.6462,0.0583,0.0861,0.1222,12.0931,4.4329,6.5796,2.6315,4.8508,5.5135,7.7493,3.9187,3.9442,3.1668,4.741,2.7798,2.4098,3.6924,0.0748,0.0876,0.0902,14.7489,26.6095,30.7651,18.5294,18.0,0.7353,0.5668,0.5275,5.0
18,1122.0,2019.0,80.0645,72.0407,111.6493,104.526,7.1234,28.5484,61.4516,7.871,20.9677,15.0968,21.3226,11.7097,24.3548,13.129,11.9677,7.0,3.2581,18.129,0.4662,0.3719,0.7223,75.0645,26.9032,58.2581,7.4194,21.871,13.8387,19.9355,10.4516,24.5161,13.9032,14.9677,5.7419,3.3548,19.7097,0.4615,0.3352,0.72,110.4208,102.2882,8.1326,8.6619,5.5672,13.5035,14.8378,17.686,4.1724,6.6809,2.6729,4.3809,6.3518,8.8259,3.8116,4.604,4.3011,4.8824,3.4919,1.6842,4.2101,0.0598,0.0865,0.1289,10.4879,4.7339,5.9023,3.1497,5.2899,4.1121,6.8859,3.3873,4.9178,4.855,4.6454,3.1517,2.4958,5.2805,0.0658,0.1292,0.1445,15.1606,20.9419,25.9027,131.8235,135.0,0.6452,0.4735,0.377,
19,1123.0,2019.0,74.0625,72.6062,102.0354,98.9491,3.0862,26.5,56.9688,6.0312,18.7188,15.0312,21.4375,9.3125,27.9062,12.625,14.6562,6.625,3.5,17.8125,0.465,0.3087,0.6996,71.875,25.8438,62.0312,6.9062,21.5,13.2812,18.8125,11.25,24.5312,11.7812,13.0,6.8125,3.375,19.4375,0.4184,0.3332,0.7138,104.2581,102.6638,1.5944,13.7066,5.8117,16.9913,12.9496,21.2929,4.603,5.5084,3.2642,4.5155,6.4395,8.0348,3.762,5.1012,4.8718,3.8779,2.4717,2.2361,3.9325,0.0658,0.1291,0.0957,11.1824,4.4659,7.3887,1.7022,5.1174,5.3865,6.3808,3.7997,4.366,3.8384,3.9765,2.8111,1.8998,4.1754,0.065,0.0971,0.1426,15.2696,19.683,25.7349,100.3529,131.0,0.4688,0.5033,0.4217,
20,1124.0,2019.0,71.6562,66.8957,107.2289,100.4589,6.77,25.5,57.9062,7.9375,23.375,12.7188,18.875,13.375,24.5938,13.8438,13.2812,6.125,4.75,18.7812,0.4421,0.3371,0.6634,67.1875,23.2188,55.0312,7.0938,20.7812,13.6562,20.0938,9.9688,21.6875,12.8438,12.4062,5.9688,4.2188,18.0312,0.4238,0.3388,0.6749,112.5555,111.0292,1.5263,9.5545,4.5061,13.3107,16.7068,20.787,4.0234,6.6585,3.051,4.2112,5.6416,6.9899,4.2408,4.3865,3.9774,3.6249,2.8804,3.0923,4.6619,0.0622,0.1107,0.1264,11.9228,4.1738,5.8922,3.146,5.2958,6.9669,9.5275,3.6097,4.3477,3.7592,3.9832,2.0384,1.9801,3.917,0.0723,0.1109,0.1173,19.1395,27.4674,26.3749,78.8824,39.0,0.5938,0.5605,0.5298,9.0
21,1125.0,2019.0,86.8667,74.9137,116.3447,99.6293,16.7154,31.6667,63.7333,10.3667,27.9667,13.1667,17.9,8.9,29.6667,19.6,11.6,6.6667,3.8,15.7,0.5007,0.371,0.7377,74.6667,27.3333,63.7667,7.6667,22.1333,12.3333,17.6667,9.5,25.9333,12.1667,12.2333,6.2,3.7,16.5333,0.4277,0.3389,0.7206,115.8482,97.4464,18.4018,11.7494,6.2693,16.0421,12.3458,20.1747,4.2999,7.5319,3.5542,5.7993,6.6987,8.3919,3.7359,4.5117,4.1521,3.6842,1.9889,1.99,4.1565,0.07,0.0999,0.0978,11.5422,4.874,6.8395,2.7849,4.9849,5.1403,7.5115,3.5379,5.68,3.7245,3.2216,2.242,1.7916,4.7239,0.0532,0.0825,0.1354,20.1365,16.0545,28.4619,56.6471,47.0,0.8333,0.4743,0.4216,11.0
22,1126.0,2019.0,72.0345,74.1711,97.205,100.1728,-2.9678,25.9655,60.4138,6.4483,19.931,13.6552,22.4138,13.1379,26.7586,13.6552,15.931,7.0,3.3103,19.8276,0.4341,0.327,0.5816,74.2759,26.0345,61.4828,6.7241,21.7931,15.4828,22.5172,12.3103,26.069,14.5862,14.6207,6.9655,4.2759,19.6207,0.4265,0.3008,0.6798,90.0276,89.4652,0.5623,11.2999,5.3631,13.8803,14.6348,20.6203,3.6245,7.0736,2.5269,5.2584,6.4609,8.0752,4.783,4.7318,4.8443,3.9122,2.9478,2.0861,3.8691,0.0696,0.1202,0.1519,11.6557,4.1146,6.2622,2.9931,5.8509,5.8287,7.4862,4.0438,4.3781,4.0728,3.9077,2.3995,2.4054,4.8024,0.069,0.1103,0.1134,16.0031,24.6423,26.8541,306.4118,304.0,0.4138,0.4143,0.3526,
23,1127.0,2019.0,63.0968,66.6129,94.746,108.9267,-14.1807,23.2581,55.129,8.0323,23.6774,8.5484,13.3871,7.2581,24.129,9.3548,12.3548,5.3548,4.3548,14.4839,0.4246,0.3362,0.6194,72.3226,26.7097,59.5161,8.8387,23.0323,10.0645,15.0,11.1935,27.4194,16.5161,11.1935,6.8387,3.0323,15.2258,0.451,0.3785,0.6585,88.8624,102.0632,-13.2008,11.151,5.3537,15.0813,15.0121,21.2059,4.0796,7.5423,3.524,5.6075,5.0407,6.9127,3.5009,4.8243,2.9898,3.0958,2.5722,2.6706,4.2111,0.0674,0.1051,0.2023,9.66,3.8537,6.2624,3.4836,5.0958,5.2667,7.0528,4.0753,4.4416,3.7834,4.1459,1.8854,2.3208,3.7735,0.0622,0.1079,0.137,17.0907,19.9765,26.9751,325.7059,325.0,0.2581,0.478,0.3239,
24,1129.0,2019.0,71.3125,66.9574,106.5083,102.602,3.9063,25.5312,54.4688,7.6562,21.7812,12.5938,17.3125,7.25,23.4688,12.0312,11.5938,6.0,2.0938,17.4688,0.4704,0.3486,0.7345,68.7812,24.0,53.5312,7.4375,21.6875,13.3438,17.9688,7.5625,23.6562,12.5938,12.375,4.8125,2.625,16.7188,0.4475,0.3341,0.7317,107.2316,104.7763,2.4553,10.6432,3.6803,14.9552,14.6458,22.8081,4.4016,6.5574,3.0167,4.4633,4.3794,5.7578,2.8284,4.0849,3.9329,3.9359,2.1213,1.3546,3.3725,0.0692,0.0993,0.1351,11.2326,4.5346,5.6843,3.0816,4.8826,5.4921,6.5788,3.3814,4.9788,4.3507,3.9902,2.6627,2.3285,3.6762,0.0652,0.0943,0.1118,20.0747,21.8599,32.053,169.8235,149.0,0.375,0.5098,0.3356,
25,1130.0,2019.0,70.8387,69.5355,101.8288,104.775,-2.9462,24.7742,58.3226,7.0323,22.1613,14.2581,20.4194,10.6774,26.0645,12.3226,12.2258,5.129,3.3226,16.4194,0.4255,0.3162,0.6867,72.7742,25.7097,61.2903,7.9355,24.8387,13.4194,18.0323,11.9677,26.6774,13.9355,11.6129,5.8387,3.0968,17.9032,0.4237,0.3244,0.7431,105.2264,114.0555,-8.8291,10.1444,4.4457,12.5663,14.2572,17.0861,4.0378,6.1769,2.3068,3.9357,7.0709,8.9362,3.4114,5.2544,3.4209,3.6519,1.9958,2.0381,4.8512,0.0563,0.0891,0.1089,10.4069,4.2059,7.7759,2.3683,5.1936,6.7287,8.6602,4.6175,5.0825,3.7411,2.5103,3.2239,2.1153,4.6514,0.0737,0.0865,0.1163,14.4819,22.9859,26.6065,124.1176,136.0,0.4516,0.5376,0.455,
26,1131.0,2019.0,71.5938,67.9891,105.5601,107.2287,-1.6686,27.625,57.875,6.5312,19.125,9.8125,14.3438,9.3438,23.1875,13.4062,12.7812,6.0625,2.125,17.6875,0.4792,0.337,0.6759,72.8125,26.125,54.7812,7.5938,21.9062,12.9688,17.7812,7.7812,23.375,13.8125,12.4062,5.9375,3.1875,16.4375,0.478,0.3502,0.7418,104.014,104.5184,-0.5043,8.3586,4.7457,12.3515,15.005,17.3086,3.3611,5.5156,2.8393,4.9292,4.3188,4.9029,3.4965,4.8505,3.3714,4.2259,2.3971,1.6724,4.3477,0.0561,0.094,0.1648,10.815,4.6486,4.4982,2.4349,4.6661,4.825,7.0787,3.5066,4.2848,3.468,3.2964,3.201,1.9912,3.3721,0.0842,0.1026,0.1172,14.1376,18.6903,19.9947,222.7647,228.0,0.4375,0.4702,0.4253,
